Program Name,ole5
Description,none
Employee ID,654312
Comp Set,4500
Input Factor,7
Input Factor Type,cu/in
Serial Number,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5,Theo Flow,Efficiency
2025-01-22,18:15:06,1232,1200,522,1,0,0,0,130,3037,463.0,20715,1508,860,592,90,271,0,398,37.33,81.35%
2025-01-22,18:15:11,1206,1200,1000,1,0,0,0,130,3867,454.0,20715,1506,860,592,97,271,0,387,36.55,105.81%
2025-01-22,18:15:16,1208,1200,24,1,5510,0,0,160,202,493.0,8991,1510,860,187,83,228,0,175,36.61,5.52%
2025-01-22,18:15:41,1202,1200,1000,1,2976,1000,0,156,3867,469.0,20715,1508,862,973,97,298,0,381,36.42,106.17%
2025-01-22,18:15:46,1189,1200,1000,1,2443,1000,0,156,3766,472.0,20715,1506,858,997,97,296,0,369,36.03,104.52%
2025-01-22,18:15:51,1206,1200,1000,1,2043,1000,0,156,3888,469.0,20715,1510,860,1026,97,297,0,369,36.55,106.39%
2025-01-22,18:15:56,1197,1200,1000,1,1510,1000,0,156,3827,466.0,20715,1508,862,973,97,296,0,398,36.27,105.51%
2025-01-22,18:16:01,1204,1200,1000,1,976,1000,0,156,3867,472.0,20715,1504,860,997,97,298,0,369,36.48,105.99%
2025-01-22,18:16:06,1191,1200,1000,1,443,1000,0,156,3807,466.0,20715,1508,858,997,97,297,0,387,36.09,105.48%
2025-01-22,18:16:11,1200,1200,1000,1,43,1000,0,156,3867,466.0,20715,1506,860,985,97,298,0,392,36.36,106.34%
2025-01-22,18:16:16,1202,1200,440,2,5718,1000,0,160,40,514.0,9699,1508,858,193,86,229,0,175,36.42,1.10%
2025-01-22,18:16:36,1238,1200,1000,2,3718,2000,0,156,3827,493.0,20715,1506,858,2035,97,364,0,387,37.52,102.01%
2025-01-22,18:16:41,1187,1200,1000,2,3184,2000,0,156,3827,481.0,20715,1506,860,2023,97,365,0,381,35.97,106.40%
2025-01-22,18:16:46,1206,1200,1000,2,2651,2000,0,156,3766,490.0,20715,1504,860,2041,97,367,0,357,36.55,103.05%
2025-01-22,18:16:51,1230,1200,1000,2,2251,2000,0,156,3726,487.0,20715,1510,858,2041,96,367,0,340,37.27,99.97%
2025-01-22,18:16:56,1204,1200,1000,2,1718,2000,0,156,3766,484.0,20715,1508,862,2070,96,369,0,381,36.48,103.22%
2025-01-22,18:17:01,1182,1200,1000,2,1184,2000,0,156,3746,481.0,20715,1504,872,2035,96,368,0,381,35.82,104.58%
2025-01-22,18:17:06,1234,1200,1000,2,651,2000,0,156,3827,496.0,20715,1512,874,2029,96,370,0,369,37.39,102.34%
2025-01-22,18:17:11,1174,1200,1000,2,251,2000,0,156,3827,490.0,20715,1508,872,2093,96,368,0,369,35.58,107.57%
2025-01-22,18:17:16,1227,1200,856,3,5926,2000,0,160,3766,487.0,20715,1508,874,2123,96,361,0,340,37.18,101.29%
2025-01-22,18:17:41,1208,1200,1000,3,3392,3000,0,156,3726,508.0,20715,1508,872,3043,96,433,0,322,36.61,101.79%
2025-01-22,18:17:46,1200,1200,1000,3,2859,3000,0,156,3746,514.0,20715,1514,874,3026,96,434,0,357,36.36,103.01%
2025-01-22,18:17:51,1202,1200,1000,3,2459,3000,0,156,3665,505.0,20715,1516,872,2973,96,435,0,369,36.42,100.62%
2025-01-22,18:17:56,1247,1200,1000,3,1926,3000,0,156,3705,523.0,20715,1516,872,2932,96,437,0,357,37.79,98.05%
2025-01-22,18:18:01,1202,1200,1000,3,1392,3000,0,156,3746,520.0,20715,1510,872,3014,96,434,0,351,36.42,102.84%
2025-01-22,18:18:06,1206,1200,1000,3,859,3000,0,156,3726,520.0,20715,1514,872,3073,96,434,0,351,36.55,101.96%
2025-01-22,18:18:11,1215,1200,1000,3,326,3000,0,156,3685,508.0,20715,1508,872,3061,96,434,0,387,36.82,100.09%
2025-01-22,18:18:16,1193,1200,1000,4,0,3000,0,135,3685,514.0,20715,1514,874,3073,96,433,0,299,36.15,101.93%
2025-01-22,18:18:21,1208,1200,208,4,5600,3000,0,109,1923,505.0,16058,1512,872,158,95,228,0,164,36.61,52.53%
