Program Name,ole5
Description,Main Pump
Employee ID,1437
Comp Set,4500
Input Factor,7
Input Factor Type,cu/in
Serial Number,168373
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5,Theo Flow,Efficiency
2025-10-31,16:16:41,1225,1200,390,1,0,0,0,130,40,535.0,182,1504,887,416,274,440,0,615,37.12,1.08%
2025-10-31,16:16:46,1202,1200,1000,1,0,0,0,130,3705,496.0,17374,1500,887,398,273,440,0,574,36.42,101.72%
2025-10-31,16:17:16,1232,1200,282,1,2947,1000,0,157,40,532.0,182,1506,891,445,275,423,0,428,37.33,1.07%
2025-10-31,16:17:22,1176,1200,1000,1,2414,1000,0,157,40,529.0,182,1504,891,1073,276,459,0,416,35.64,1.12%
2025-10-31,16:17:27,1187,1200,1000,1,1881,1000,0,159,3685,493.0,17678,1502,897,1061,273,469,0,398,35.97,102.45%
2025-10-31,16:17:32,1191,1200,1000,1,1347,1000,0,156,3726,490.0,17475,1506,897,1061,274,475,0,416,36.09,103.24%
2025-10-31,16:17:37,1193,1200,0,1,947,1000,0,153,40,520.0,18285,1508,891,428,275,420,0,445,36.15,1.11%
2025-10-31,16:17:42,1212,1200,720,1,414,1000,0,157,20,526.0,182,1508,899,445,275,430,0,439,36.73,0.54%
2025-10-31,16:17:47,1212,1200,1000,1,0,1000,0,159,3138,496.0,14640,1504,901,439,273,477,0,1032,36.73,85.44%
2025-10-31,16:17:52,1191,1200,1000,1,0,1000,0,159,3726,502.0,17273,1508,901,410,273,470,0,1008,36.09,103.24%
2025-10-31,16:17:58,1184,1200,1000,1,0,1000,0,156,3665,481.0,17172,1508,901,445,273,473,0,1014,35.88,102.15%
2025-10-31,16:18:03,1154,1200,640,2,5818,1000,0,160,3604,508.0,15754,1508,901,439,274,437,0,469,34.97,103.06%
2025-10-31,16:18:33,1178,1200,594,2,2751,2000,0,157,40,520.0,182,1510,901,451,275,426,0,451,35.70,1.12%
2025-10-31,16:18:38,1184,1200,1000,2,2218,2000,0,159,20,529.0,182,1512,901,451,273,423,0,428,35.88,0.56%
2025-10-31,16:18:43,1184,1200,1000,2,1818,2000,0,159,40,532.0,182,1512,901,439,276,436,0,428,35.88,1.11%
2025-10-31,16:18:48,1204,1200,1000,2,1285,2000,0,156,20,529.0,182,1514,901,451,274,430,0,439,36.48,0.55%
2025-10-31,16:18:53,1172,1200,78,2,751,2000,0,157,40,517.0,182,1516,901,451,278,437,0,457,35.52,1.13%
2025-10-31,16:18:58,1176,1200,876,2,218,2000,0,157,40,529.0,182,1510,901,439,274,428,0,422,35.64,1.12%
2025-10-31,16:19:03,1191,1200,1000,2,0,2000,0,159,3786,475.0,17880,1512,899,398,275,543,0,2175,36.09,104.90%
2025-10-31,16:19:08,1215,1200,1000,2,0,2000,0,159,3645,454.0,17374,1512,901,428,273,550,0,2070,36.82,99.00%
2025-10-31,16:19:13,1187,1200,1000,3,0,2000,0,135,3746,460.0,17678,1510,899,387,275,537,0,2181,35.97,104.14%
2025-10-31,16:19:18,1200,1200,128,3,5562,2000,0,160,20,520.0,182,1518,899,428,273,421,0,416,36.36,0.55%
2025-10-31,16:19:48,1191,1200,414,3,2629,3000,0,157,40,526.0,182,1516,912,445,276,425,0,422,36.09,1.11%
2025-10-31,16:19:53,1197,1200,1000,3,2095,3000,0,159,20,532.0,182,1518,912,428,275,421,0,428,36.27,0.55%
2025-10-31,16:19:58,1200,1200,1000,3,1562,3000,0,159,40,526.0,182,1516,912,445,275,425,0,439,36.36,1.10%
2025-10-31,16:20:03,1200,1200,1000,3,1029,3000,0,156,20,526.0,182,1518,910,445,275,432,0,422,36.36,0.55%
2025-10-31,16:20:08,1208,1200,30,3,629,3000,0,157,40,523.0,182,1516,910,445,273,435,0,416,36.61,1.09%
2025-10-31,16:20:13,1187,1200,834,3,95,3000,0,157,40,526.0,182,1516,912,428,273,418,0,439,35.97,1.11%
2025-10-31,16:20:18,1191,1200,1000,3,0,3000,0,159,3705,460.0,18083,1516,912,422,273,597,0,2920,36.09,102.66%
2025-10-31,16:20:23,1221,1200,1000,3,0,3000,0,159,3685,454.0,17577,1516,912,410,274,597,0,2991,37.00,99.59%
2025-10-31,16:20:28,1221,1200,1000,4,5991,3000,0,109,3726,466.0,17880,1516,912,416,271,596,0,2873,37.00,100.70%
2025-10-31,16:20:33,1212,1200,184,4,5591,3000,0,109,20,526.0,182,1524,912,428,275,426,0,428,36.73,0.54%
