Program Name,ole5
Description,Rotation Motor
Employee ID,1437
Comp Set,4500
Input Factor,14
Input Factor Type,cu/in
Serial Number,170654
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5,Theo Flow,Efficiency
2025-12-24,19:33:09,1191,1200,678,1,0,0,0,130,7229,120.0,20715,1454,781,680,82,43,0,486,72.18,100.15%
2025-12-24,19:33:14,1200,1200,1000,1,0,0,0,130,7492,123.0,20715,1452,781,656,82,43,0,480,72.73,103.01%
2025-12-24,19:33:39,1189,1200,1000,1,3481,1000,0,156,7391,138.0,20715,1458,781,973,82,43,0,451,72.06,102.57%
2025-12-24,19:33:44,1182,1200,1000,1,2948,1000,0,156,7330,138.0,20715,1458,793,938,82,43,0,475,71.64,102.32%
2025-12-24,19:33:49,1210,1200,1000,1,2414,1000,0,156,7391,138.0,20715,1462,793,985,82,43,0,457,73.33,100.79%
2025-12-24,19:33:54,1195,1200,1000,1,1881,1000,0,156,7411,138.0,20715,1460,793,967,82,43,0,475,72.42,102.33%
2025-12-24,19:33:59,1189,1200,1000,1,1481,1000,0,156,7330,138.0,20715,1460,797,985,83,43,0,457,72.06,101.72%
2025-12-24,19:34:04,1191,1200,1000,1,948,1000,0,156,7371,141.0,20715,1458,795,985,82,43,0,486,72.18,102.12%
2025-12-24,19:34:09,1200,1200,1000,1,414,1000,0,156,7330,144.0,20715,1462,795,1002,83,42,0,428,72.73,100.79%
2025-12-24,19:34:14,1200,1200,1000,2,0,1000,0,135,7371,141.0,20715,1464,795,973,82,43,0,457,72.73,101.35%
2025-12-24,19:34:19,1187,1200,384,2,5689,1000,0,160,7330,144.0,20715,1464,795,973,82,42,0,469,71.94,101.89%
2025-12-24,19:34:39,1208,1200,1000,2,3556,2000,0,156,7209,198.0,20715,1468,793,1917,82,42,0,480,73.21,98.47%
2025-12-24,19:34:44,1182,1200,1000,2,3156,2000,0,156,7209,198.0,20715,1468,795,2035,82,43,0,422,71.64,100.63%
2025-12-24,19:34:50,1240,1200,1000,2,2622,2000,0,156,7087,201.0,20715,1470,795,2023,82,43,0,445,75.15,94.30%
2025-12-24,19:34:55,1189,1200,1000,2,2089,2000,0,156,7107,201.0,20715,1470,793,2023,82,43,0,439,72.06,98.63%
2025-12-24,19:35:00,1204,1200,1000,2,1556,2000,0,156,7249,201.0,20715,1468,795,2035,82,43,0,422,72.97,99.34%
2025-12-24,19:35:05,1182,1200,1000,2,1156,2000,0,156,7310,204.0,20715,1474,793,2035,82,43,0,445,71.64,102.04%
2025-12-24,19:35:10,1217,1200,1000,2,622,2000,0,156,7148,201.0,20715,1470,793,2070,82,43,0,422,73.76,96.91%
2025-12-24,19:35:15,1180,1200,1000,2,89,2000,0,156,7087,207.0,20715,1472,808,1906,82,43,0,527,71.52,99.10%
2025-12-24,19:35:20,1217,1200,536,3,5764,2000,0,160,7350,207.0,20715,1472,808,2011,82,43,0,422,73.76,99.65%
