Program Name,ole5
Description,Main Pump
Employee ID,1437
Comp Set,4500
Input Factor,7.25
Input Factor Type,cu/in
Serial Number,170036
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5,Theo Flow,Efficiency
2026-01-06,15:38:28,1197,1200,804,1,0,0,0,130,20,451.0,182,1382,704,293,259,435,0,187,37.57,0.53%
2026-01-06,15:38:34,1184,1200,344,1,5670,0,0,160,20,451.0,182,1382,702,293,259,436,0,187,37.16,0.54%
2026-01-06,15:39:14,1227,1200,234,1,1537,1000,0,157,20,466.0,81,1380,702,304,258,435,0,205,38.51,0.52%
2026-01-06,15:39:20,1191,1200,1000,1,1003,1000,0,157,607,156.0,3321,1380,702,158,255,477,0,979,37.38,16.24%
2026-01-06,15:39:25,1189,1200,1000,1,470,1000,0,159,3280,87.0,17880,1384,702,134,195,421,0,926,37.32,87.90%
2026-01-06,15:39:30,1195,1200,1000,1,0,1000,0,159,3321,90.0,17577,1378,702,134,191,420,0,944,37.51,88.55%
2026-01-06,15:39:36,1206,1200,816,2,5907,1000,0,160,3300,90.0,17475,1382,702,129,197,440,0,985,37.85,87.18%
2026-01-06,15:40:07,1187,1200,0,2,2841,2000,0,153,40,496.0,182,1380,702,322,259,434,0,152,37.25,1.07%
2026-01-06,15:40:12,1208,1200,786,2,2307,2000,0,157,40,475.0,182,1382,704,328,257,436,0,158,37.91,1.06%
2026-01-06,15:40:17,1219,1200,1000,2,1774,2000,0,159,3645,108.0,15653,1378,702,1964,196,486,0,105,38.26,95.27%
2026-01-06,15:40:23,1197,1200,1000,2,1241,2000,0,159,3685,108.0,16058,1384,702,2070,205,505,0,99,37.57,98.09%
2026-01-06,15:40:29,1101,1200,0,2,574,2000,0,153,3543,499.0,14337,1382,702,662,229,519,0,246,34.56,102.53%
2026-01-06,15:40:34,1204,1200,690,2,41,2000,0,157,40,463.0,182,1384,704,293,257,433,0,164,37.79,1.06%
2026-01-06,15:40:40,1187,1200,1000,2,0,2000,0,159,2835,114.0,15248,1378,712,146,202,495,0,2035,37.25,76.10%
2026-01-06,15:40:45,1189,1200,1000,2,0,2000,0,159,3300,117.0,17577,1380,716,93,207,511,0,2099,37.32,88.43%
2026-01-06,15:40:51,1208,1200,1000,3,0,2000,0,135,3280,111.0,17070,1382,716,105,195,510,0,2082,37.91,86.51%
2026-01-06,15:40:56,1197,1200,112,3,5555,2000,0,160,20,472.0,81,1382,714,334,257,434,0,181,37.57,0.53%
2026-01-06,15:41:27,1212,1200,174,3,2489,3000,0,157,40,475.0,182,1382,714,340,256,432,0,158,38.04,1.05%
2026-01-06,15:41:32,1204,1200,978,3,1955,3000,0,157,40,499.0,283,1382,714,2527,255,586,0,146,37.79,1.06%
2026-01-06,15:41:38,1223,1200,1000,3,1422,3000,0,159,3584,132.0,15349,1384,716,3108,209,563,0,129,38.38,93.37%
2026-01-06,15:41:43,1197,1200,1000,3,755,3000,0,159,3645,147.0,15957,1386,716,3120,194,564,0,105,37.57,97.02%
2026-01-06,15:41:49,1243,1200,0,3,222,3000,0,153,162,490.0,1296,1384,716,293,259,432,0,152,39.01,4.15%
2026-01-06,15:41:55,1202,1200,768,3,0,3000,0,157,20,442.0,182,1388,716,269,255,434,0,175,37.73,0.53%
2026-01-06,15:42:00,1217,1200,1000,3,0,3000,0,159,2754,138.0,14539,1384,714,152,203,573,0,2903,38.20,72.10%
2026-01-06,15:42:05,1163,1200,1000,3,0,3000,0,159,3300,135.0,17779,1382,714,152,192,563,0,3014,36.50,90.41%
2026-01-06,15:42:11,1197,1200,1000,4,0,3000,0,135,3260,144.0,17172,1386,714,117,214,562,0,3114,37.57,86.78%
2026-01-06,15:42:16,1191,1200,304,4,5651,3000,0,109,40,466.0,182,1388,716,334,255,433,0,164,37.38,1.07%
