Program Name,ole5
Description,Main Pump
Employee ID,1437
Comp Set,4500
Input Factor,11
Input Factor Type,cu/in
Serial Number,170036
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5
2026-02-18,16:01:39,1262,1200,204,1,0,0,0,130,0.20,966.0,182,1408,756,469,293,466,0,680
2026-02-18,16:01:44,1184,1200,1000,1,0,0,0,130,56.49,987.0,20715,1404,758,439,287,469,0,604
2026-02-18,16:01:49,1202,1200,16,1,5505,0,0,160,0.20,1008.0,81,1410,758,486,292,451,0,486
2026-02-18,16:02:14,1208,1200,162,1,2972,1000,0,157,0.40,1005.0,182,1410,754,480,292,452,0,469
2026-02-18,16:02:19,1189,1200,762,1,2572,1000,0,157,0.20,1017.0,81,1406,754,486,292,452,0,457
2026-02-18,16:02:24,1215,1200,1000,1,2038,1000,0,159,58.32,1020.0,20715,1404,756,1067,293,492,0,451
2026-02-18,16:02:29,1202,1200,1000,1,1505,1000,0,159,57.30,1014.0,20715,1404,756,1038,289,494,0,457
2026-02-18,16:02:34,1210,1200,0,1,972,1000,0,152,57.51,1005.0,20715,1408,756,1038,292,496,0,428
2026-02-18,16:02:39,1202,1200,456,1,438,1000,0,157,0.20,1002.0,182,1406,756,475,291,448,0,480
2026-02-18,16:02:44,1217,1200,1000,1,38,1000,0,157,3.24,1041.0,182,1404,754,457,289,488,0,1032
2026-02-18,16:02:49,1191,1200,1000,1,0,1000,0,159,56.49,1017.0,20715,1404,756,445,291,493,0,1002
2026-02-18,16:02:55,1202,1200,1000,1,0,1000,0,156,56.29,1005.0,20715,1406,758,439,289,492,0,1008
2026-02-18,16:03:00,1152,1200,688,2,5842,1000,0,160,48.80,990.0,20614,1410,756,486,291,488,0,498
2026-02-18,16:03:30,1217,1200,324,2,2776,2000,0,157,0.20,969.0,81,1408,768,475,292,451,0,457
2026-02-18,16:03:35,1167,1200,924,2,2376,2000,0,157,0.20,1026.0,182,1412,768,2070,290,565,0,451
2026-02-18,16:03:40,1223,1200,1000,2,1842,2000,0,159,56.90,1008.0,20715,1408,770,2211,290,572,0,410
2026-02-18,16:03:45,1172,1200,1000,2,1309,2000,0,159,58.11,966.0,20715,1412,768,2146,288,568,0,428
2026-02-18,16:03:50,1152,1200,0,2,776,2000,0,152,25.31,1050.0,9801,1414,766,897,286,551,0,475
2026-02-18,16:03:55,1206,1200,612,2,242,2000,0,157,0.20,1008.0,182,1412,768,480,287,447,0,457
2026-02-18,16:04:00,1208,1200,1000,2,0,2000,0,159,0.20,1002.0,81,1414,768,486,288,447,0,475
2026-02-18,16:04:05,1193,1200,1000,2,0,2000,0,159,0.20,1008.0,182,1412,768,475,289,449,0,469
2026-02-18,16:04:10,1189,1200,1000,2,0,2000,0,156,0.40,1002.0,182,1418,768,469,289,452,0,480
2026-02-18,16:04:15,1200,1200,480,3,5738,2000,0,160,0.40,1011.0,182,1414,768,486,288,451,0,486
2026-02-18,16:05:00,1197,1200,114,3,1338,3000,0,157,0.20,1026.0,182,1422,768,480,289,446,0,457
2026-02-18,16:05:05,1202,1200,912,3,805,3000,0,157,0.40,1038.0,81,1420,768,2879,290,572,0,369
2026-02-18,16:05:10,1215,1200,1000,3,272,3000,0,159,55.08,1002.0,20715,1422,768,3102,285,632,0,422
2026-02-18,16:05:15,1210,1200,1000,3,0,3000,0,159,54.87,1002.0,20715,1424,779,3085,286,637,0,363
2026-02-18,16:05:21,1184,1200,904,4,5949,3000,0,109,56.29,1020.0,20715,1422,779,3026,287,636,0,475
2026-02-18,16:05:26,1210,1200,104,4,5549,3000,0,109,0.20,1002.0,81,1420,781,480,285,448,0,457
2026-02-18,18:11:14,1206,1200,30,1,0,0,0,130,0.20,1002.0,182,1406,754,475,292,452,0,469
2026-02-18,18:11:19,1217,1200,834,1,0,0,0,130,0.40,1020.0,81,1404,754,457,290,451,0,475
2026-02-18,18:11:24,1200,1200,776,1,5887,0,0,160,58.92,990.0,20715,1402,756,439,291,471,0,645
2026-02-18,18:11:54,1202,1200,636,1,2821,1000,0,157,0.20,1008.0,81,1402,754,475,288,450,0,451
2026-02-18,18:11:59,1202,1200,1000,1,2287,1000,0,159,57.51,996.0,20715,1404,756,1055,286,492,0,439
2026-02-18,18:12:04,1187,1200,1000,1,1887,1000,0,159,57.71,1002.0,20715,1402,754,1073,289,495,0,439
2026-02-18,18:12:09,1208,1200,1000,1,1354,1000,0,156,57.10,996.0,20715,1406,754,1026,289,493,0,428
2026-02-18,18:12:14,1221,1200,102,1,821,1000,0,157,0.20,1002.0,182,1406,754,480,286,449,0,475
2026-02-18,18:12:19,1184,1200,906,1,287,1000,0,157,0.40,1029.0,182,1404,758,457,286,458,0,938
2026-02-18,18:12:24,1182,1200,1000,1,0,1000,0,159,56.70,996.0,20715,1402,754,428,288,493,0,1061
2026-02-18,18:12:29,1204,1200,1000,1,0,1000,0,159,57.10,1002.0,20715,1400,766,439,289,492,0,1014
2026-02-18,18:12:34,1206,1200,1000,1,0,1000,0,156,56.90,1005.0,20715,1402,768,457,288,490,0,1008
2026-02-18,18:12:39,1206,1200,384,2,5691,1000,0,160,0.20,1008.0,81,1404,768,457,286,446,0,457
2026-02-18,18:13:10,1221,1200,378,2,2758,2000,0,157,0.20,996.0,81,1406,768,457,289,448,0,451
2026-02-18,18:13:15,1227,1200,1000,2,2225,2000,0,157,34.22,1005.0,18083,1410,768,2170,287,570,0,439
2026-02-18,18:13:20,1197,1200,1000,2,1691,2000,0,159,56.09,990.0,20715,1404,770,2199,285,567,0,381
2026-02-18,18:13:25,1204,1200,1000,2,1158,2000,0,159,55.89,999.0,20715,1408,781,2187,285,568,0,416
2026-02-18,18:13:30,1133,1200,0,2,758,2000,0,152,35.03,1035.0,14843,1410,781,826,287,450,0,457
2026-02-18,18:13:35,1189,1200,630,2,225,2000,0,157,0.20,1005.0,182,1408,781,469,287,449,0,469
2026-02-18,18:13:40,1189,1200,1000,2,0,2000,0,159,56.90,993.0,20715,1408,779,416,282,564,0,2111
