Program Name:  OLE
Allocation Name: bucket1
Description:  
Log Type:  Trend
Memory Amount:  Trend
MemAmount= 5120K
Data Protection:  OFF
Time Stamp:  ON
Sample Rate:  1 seconds
Date,Day,Time,  F1, F2, S1, T1, TP, T3, P1, P2, P3, P4
07/09/24,Tue,07:02:29,  0.000000,  0.000000, 0,  0.0, 0,  0.0, 159, 833, 0, 0
07/09/24,Tue,07:02:30,  0.200000,  0.000000, 0,  0.0, 0,  35.0, 112, 9, 49, 0
07/09/24,Tue,07:03:09,  75.510000,  0.000000, 1197,  0.0, 0,  35.0, 477, 10, 49, 0
07/09/24,Tue,07:03:10,  75.110000,  0.000000, 1200,  0.0, 0,  35.0, 483, 11, 47, 0
07/09/24,Tue,07:03:11,  75.210000,  0.000000, 1202,  0.0, 0,  35.0, 477, 9, 48, 0
07/09/24,Tue,07:03:12,  75.310000,  0.000000, 1204,  0.0, 0,  35.0, 494, 9, 46, 0
07/09/24,Tue,07:03:13,  75.210000,  0.000000, 1197,  0.0, 0,  35.0, 460, 9, 49, 0
07/09/24,Tue,07:03:14,  75.110000,  0.000000, 1202,  0.0, 0,  35.0, 466, 11, 46, 0
07/09/24,Tue,07:03:15,  75.110000,  0.000000, 1197,  0.0, 0,  35.0, 477, 11, 50, 0
07/09/24,Tue,07:03:16,  75.110000,  0.000000, 1195,  0.0, 0,  35.0, 489, 9, 48, 0
07/09/24,Tue,07:03:17,  75.210000,  0.000000, 1202,  0.0, 0,  35.0, 460, 10, 47, 0
07/09/24,Tue,07:03:18,  75.210000,  0.000000, 1197,  0.0, 0,  35.0, 466, 9, 49, 0
07/09/24,Tue,07:03:30,  75.310000,  0.000000, 1202,  0.0, 0,  35.0, 545, 8, 47, 0
07/09/24,Tue,07:03:31,  75.310000,  0.000000, 1197,  0.0, 0,  35.0, 533, 9, 46, 0
07/09/24,Tue,07:03:32,  75.010000,  0.000000, 1193,  0.0, 0,  35.0, 522, 11, 50, 0
07/09/24,Tue,07:03:33,  74.800000,  0.000000, 1208,  0.0, 0,  35.0, 539, 9, 48, 0
07/09/24,Tue,07:03:34,  75.110000,  0.000000, 1208,  0.0, 100,  35.0, 522, 11, 49, 0
07/09/24,Tue,07:03:35,  75.310000,  0.000000, 1200,  0.0, 100,  35.0, 517, 9, 48, 0
07/09/24,Tue,07:03:36,  75.210000,  0.000000, 1200,  0.0, 100,  35.0, 522, 9, 48, 0
07/09/24,Tue,07:03:37,  75.210000,  0.000000, 1202,  0.0, 100,  35.0, 494, 10, 48, 0
07/09/24,Tue,07:03:38,  75.210000,  0.000000, 1202,  0.0, 100,  35.0, 539, 11, 45, 0
07/09/24,Tue,07:03:39,  75.310000,  0.000000, 1204,  0.0, 100,  35.0, 511, 9, 49, 0
07/09/24,Tue,07:03:40,  75.310000,  0.000000, 1197,  0.0, 100,  35.0, 517, 9, 49, 0
07/09/24,Tue,07:03:41,  75.010000,  0.000000, 1202,  0.0, 100,  34.8, 533, 8, 49, 0
07/09/24,Tue,07:03:42,  75.110000,  0.000000, 1197,  0.0, 100,  35.0, 522, 10, 46, 0
07/09/24,Tue,07:03:43,  75.310000,  0.000000, 1200,  0.0, 100,  35.0, 505, 11, 47, 0
07/09/24,Tue,07:03:44,  75.310000,  0.000000, 1202,  0.0, 0,  35.0, 505, 9, 48, 0
07/09/24,Tue,07:03:45,  75.410000,  0.000000, 1197,  0.0, 0,  35.0, 494, 10, 47, 0
07/09/24,Tue,07:03:46,  75.010000,  0.000000, 1200,  0.0, 0,  35.0, 517, 11, 48, 0
07/09/24,Tue,07:03:47,  75.010000,  0.000000, 1197,  0.0, 0,  35.0, 517, 10, 48, 0
07/09/24,Tue,07:03:48,  74.910000,  0.000000, 1202,  0.0, 0,  35.0, 533, 10, 48, 0
07/09/24,Tue,07:03:49,  74.910000,  0.000000, 1204,  0.0, 100,  35.0, 539, 11, 47, 0
07/09/24,Tue,07:03:50,  75.310000,  0.000000, 1202,  0.0, 100,  35.0, 517, 11, 47, 0
07/09/24,Tue,07:03:51,  75.410000,  0.000000, 1200,  0.0, 100,  35.0, 517, 11, 47, 0
07/09/24,Tue,07:03:52,  75.210000,  0.000000, 1197,  0.0, 100,  35.0, 522, 10, 47, 0
07/09/24,Tue,07:03:53,  75.410000,  0.000000, 1208,  0.0, 100,  35.0, 539, 10, 47, 0
07/09/24,Tue,07:03:54,  75.310000,  0.000000, 1200,  0.0, 100,  35.0, 494, 11, 47, 0
07/09/24,Tue,07:03:55,  75.110000,  0.000000, 1193,  0.0, 100,  35.0, 533, 10, 49, 0
07/09/24,Tue,07:03:56,  75.010000,  0.000000, 1197,  0.0, 100,  35.0, 539, 9, 50, 0
07/09/24,Tue,07:03:57,  74.800000,  0.000000, 1200,  0.0, 100,  35.0, 522, 11, 47, 0
07/09/24,Tue,07:03:58,  75.210000,  0.000000, 1202,  0.0, 100,  35.0, 545, 10, 49, 0
07/09/24,Tue,07:03:59,  75.210000,  0.000000, 1197,  0.0, 0,  35.0, 505, 10, 47, 0
07/09/24,Tue,07:04:00,  75.210000,  0.000000, 1195,  0.0, 0,  35.0, 522, 10, 47, 0
07/09/24,Tue,07:04:01,  74.800000,  0.000000, 1197,  0.0, 0,  35.0, 511, 11, 47, 0
07/09/24,Tue,07:04:02,  75.010000,  0.000000, 1202,  0.0, 0,  35.0, 545, 11, 49, 0
07/09/24,Tue,07:04:15,  74.600000,  0.000000, 1206,  0.0, 0,  35.0, 1337, 11, 49, 0
07/09/24,Tue,07:04:16,  73.990000,  0.000000, 1182,  0.0, 0,  35.0, 1450, 11, 48, 0
07/09/24,Tue,07:04:17,  73.690000,  0.000000, 1191,  0.0, 0,  35.0, 1461, 11, 48, 0
07/09/24,Tue,07:04:18,  73.890000,  362.790000, 1206,  0.0, 0,  35.0, 1377, 11, 48, 0
07/09/24,Tue,07:04:19,  73.990000,  0.000000, 1206,  0.0, 100,  35.0, 1410, 11, 48, 0
07/09/24,Tue,07:04:20,  74.100000,  0.000000, 1206,  0.0, 100,  35.0, 1365, 9, 49, 0
07/09/24,Tue,07:04:21,  74.100000,  0.000000, 1197,  0.0, 100,  35.0, 1388, 11, 48, 0
07/09/24,Tue,07:04:22,  74.100000,  0.000000, 1195,  0.0, 100,  35.0, 1337, 10, 47, 0
07/09/24,Tue,07:04:23,  73.990000,  0.000000, 1189,  0.0, 100,  35.0, 1422, 9, 46, 0
07/09/24,Tue,07:04:24,  73.890000,  0.000000, 1197,  0.0, 100,  35.0, 1422, 10, 47, 0
07/09/24,Tue,07:04:25,  73.890000,  0.000000, 1202,  0.0, 100,  35.0, 1438, 9, 49, 0
07/09/24,Tue,07:04:26,  73.890000,  0.000000, 1195,  0.0, 100,  35.0, 1393, 10, 50, 0
07/09/24,Tue,07:04:27,  74.100000,  0.000000, 1200,  0.0, 100,  35.0, 1422, 11, 49, 0
07/09/24,Tue,07:04:28,  74.100000,  0.000000, 1197,  0.0, 100,  35.0, 1416, 8, 47, 0
07/09/24,Tue,07:04:29,  73.990000,  0.000000, 1202,  0.0, 0,  35.0, 1360, 10, 49, 0
07/09/24,Tue,07:04:30,  74.100000,  0.000000, 1208,  0.0, 0,  35.0, 1393, 11, 47, 0
07/09/24,Tue,07:04:31,  74.100000,  0.000000, 1202,  0.0, 0,  35.0, 1422, 11, 48, 0
07/09/24,Tue,07:04:32,  74.300000,  0.000000, 1197,  0.0, 0,  35.0, 1416, 11, 48, 0
07/09/24,Tue,07:04:33,  74.200000,  0.000000, 1215,  0.0, 0,  35.0, 1360, 11, 49, 0
07/09/24,Tue,07:04:34,  73.990000,  362.790000, 1208,  0.0, 100,  35.0, 1348, 9, 49, 0
07/09/24,Tue,07:04:35,  73.790000,  0.000000, 1200,  0.0, 100,  35.3, 1377, 10, 47, 0
07/09/24,Tue,07:04:36,  73.790000,  0.000000, 1191,  0.0, 100,  35.0, 1438, 11, 50, 0
07/09/24,Tue,07:04:37,  73.990000,  0.000000, 1206,  0.0, 100,  35.3, 1410, 11, 48, 0
07/09/24,Tue,07:04:38,  73.790000,  0.000000, 1195,  0.0, 100,  35.5, 1405, 10, 48, 0
07/09/24,Tue,07:04:39,  73.790000,  0.000000, 1212,  0.0, 100,  35.5, 1326, 10, 49, 0
07/09/24,Tue,07:04:40,  73.990000,  0.000000, 1212,  0.0, 100,  35.5, 1377, 10, 50, 0
07/09/24,Tue,07:04:41,  73.890000,  0.000000, 1189,  0.0, 100,  35.3, 1444, 9, 49, 0
07/09/24,Tue,07:04:42,  73.990000,  0.000000, 1197,  0.0, 100,  35.3, 1433, 10, 48, 0
07/09/24,Tue,07:04:43,  74.100000,  0.000000, 1202,  0.0, 100,  35.3, 1433, 10, 49, 0
07/09/24,Tue,07:04:44,  73.890000,  0.000000, 1208,  0.0, 0,  35.5, 1405, 9, 49, 0
07/09/24,Tue,07:04:45,  74.100000,  362.790000, 1204,  0.0, 0,  35.5, 1422, 11, 47, 0
07/09/24,Tue,07:04:46,  73.990000,  0.000000, 1200,  0.0, 0,  35.3, 1433, 10, 49, 0
07/09/24,Tue,07:04:47,  74.100000,  362.790000, 1206,  0.0, 0,  35.0, 1332, 10, 49, 0
07/09/24,Tue,07:04:59,  72.980000,  0.610000, 1197,  0.0, 0,  35.0, 2135, 9, 50, 0
07/09/24,Tue,07:05:00,  72.880000,  0.620000, 1200,  0.0, 0,  35.0, 2147, 12, 49, 0
07/09/24,Tue,07:05:01,  72.980000,  0.630000, 1200,  0.0, 0,  35.0, 2113, 10, 48, 0
07/09/24,Tue,07:05:02,  72.980000,  0.650000, 1206,  0.0, 0,  35.0, 2124, 11, 47, 0
07/09/24,Tue,07:05:03,  73.290000,  0.650000, 1202,  0.0, 100,  35.0, 2231, 11, 50, 0
07/09/24,Tue,07:05:04,  73.180000,  0.650000, 1212,  0.0, 100,  35.0, 2090, 9, 50, 0
07/09/24,Tue,07:05:05,  73.290000,  0.670000, 1210,  0.0, 100,  35.3, 2057, 11, 49, 0
07/09/24,Tue,07:05:06,  73.180000,  0.680000, 1195,  0.0, 100,  35.0, 2057, 9, 49, 0
07/09/24,Tue,07:05:07,  73.180000,  0.690000, 1195,  0.0, 100,  35.0, 2192, 9, 49, 0
07/09/24,Tue,07:05:08,  73.180000,  0.690000, 1202,  0.0, 100,  35.0, 2085, 11, 48, 0
07/09/24,Tue,07:05:09,  72.980000,  0.710000, 1204,  0.0, 100,  35.0, 2085, 9, 49, 0
07/09/24,Tue,07:05:10,  73.080000,  0.710000, 1202,  0.0, 100,  35.0, 2163, 11, 48, 0
07/09/24,Tue,07:05:11,  73.080000,  0.710000, 1195,  0.0, 100,  35.0, 2029, 9, 49, 0
07/09/24,Tue,07:05:12,  73.180000,  0.710000, 1208,  0.0, 100,  35.0, 2057, 9, 48, 0
07/09/24,Tue,07:05:13,  73.290000,  0.720000, 1204,  0.0, 0,  35.0, 2163, 10, 49, 0
07/09/24,Tue,07:05:14,  73.180000,  0.730000, 1202,  0.0, 0,  35.0, 2152, 11, 48, 0
